# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);45.641
# Site longitude (positive means East);5.875
# Site altitude (m);606
# Date beginning;2011-05-01
# Date end;2011-05-30
# Time reference (hour);UT
# Summarization (period of integration);Hour (h)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2011-05-01;01:00;280.59;80.38;909.95;1.59;176.70;0.009577;0.000000;0.000000;0.0000
2011-05-01;02:00;280.06;82.20;910.06;1.72;180.29;0.027433;0.000000;0.000000;0.0000
2011-05-01;03:00;279.62;83.97;910.24;1.79;178.22;0.033724;0.000000;0.000000;0.0000
2011-05-01;04:00;279.29;85.30;910.37;1.81;170.79;0.031896;0.000000;0.000000;0.0000
2011-05-01;05:00;279.10;85.87;910.49;1.81;163.57;0.016611;0.000000;0.000000;6.8743
2011-05-01;06:00;280.60;86.54;910.73;1.54;160.33;0.006940;0.000000;0.000000;110.7917
2011-05-01;07:00;283.65;74.18;911.03;1.47;170.93;0.009408;0.000000;0.000000;282.4328
2011-05-01;08:00;285.88;62.58;911.17;1.06;204.12;0.014867;0.000000;0.000000;486.4016
2011-05-01;09:00;287.70;55.96;911.18;1.01;254.56;0.015359;0.000000;0.000000;645.3282
2011-05-01;10:00;288.91;52.05;911.16;1.30;283.23;0.010866;0.000000;0.000000;746.7038
2011-05-01;11:00;289.79;49.39;911.08;1.59;297.84;0.008741;0.000000;0.000000;803.9429
2011-05-01;12:00;290.35;48.01;910.97;1.77;307.97;0.013647;0.000000;0.000000;817.9740
2011-05-01;13:00;290.72;47.23;910.85;1.82;318.38;0.020511;0.000000;0.000000;799.5231
2011-05-01;14:00;290.86;46.98;910.65;1.82;327.11;0.024816;0.000000;0.000000;726.0912
2011-05-01;15:00;290.71;47.43;910.48;1.85;331.28;0.031195;0.000000;0.000000;610.9765
2011-05-01;16:00;290.34;48.63;910.47;1.81;332.42;0.035435;0.000000;0.000000;466.7587
2011-05-01;17:00;289.68;52.14;910.59;1.60;333.52;0.036419;0.000000;0.000000;301.3116
2011-05-01;18:00;288.51;63.89;910.76;1.06;337.15;0.028514;0.000000;0.000000;141.0475
2011-05-01;19:00;287.02;62.61;910.96;0.68;334.64;0.023790;0.000000;0.000000;18.2547
2011-05-01;20:00;286.28;60.83;911.36;0.11;228.82;0.014693;0.000000;0.000000;0.0000
2011-05-01;21:00;285.10;65.66;911.62;0.97;174.24;0.006990;0.000000;0.000000;0.0000
2011-05-01;22:00;283.76;72.52;911.74;1.60;171.73;0.001230;0.000000;0.000000;0.0000
2011-05-01;23:00;282.74;77.63;911.87;1.95;172.75;0.000094;0.000000;0.000000;0.0000
2011-05-01;24:00;282.05;80.72;911.99;2.07;174.16;0.000010;0.000000;0.000000;0.0000
2011-05-02;01:00;281.62;82.48;911.92;1.96;171.27;0.000005;0.000000;0.000000;0.0000
2011-05-02;02:00;281.29;83.84;911.71;1.79;162.77;0.000004;0.000000;0.000000;0.0000
2011-05-02;03:00;281.07;84.29;911.39;1.68;148.21;0.000005;0.000000;0.000000;0.0000
2011-05-02;04:00;280.66;85.58;911.00;1.63;132.40;0.000011;0.000000;0.000000;0.0000
2011-05-02;05:00;280.61;84.69;910.72;1.63;122.59;0.000010;0.000000;0.000000;7.7197
2011-05-02;06:00;281.91;84.00;910.60;1.41;119.71;0.000034;0.000000;0.000000;98.3963
2011-05-02;07:00;285.15;74.07;910.57;0.99;119.11;0.001286;0.000000;0.000000;269.1610
2011-05-02;08:00;287.74;60.61;910.48;0.10;140.64;0.007509;0.000000;0.000000;442.7471
2011-05-02;09:00;289.50;54.75;910.32;0.67;302.64;0.053228;0.000000;0.000000;606.8378
2011-05-02;10:00;290.51;51.97;910.10;1.21;300.46;0.086091;0.000000;0.000000;679.8879
2011-05-02;11:00;290.95;51.43;909.85;1.57;296.06;0.125807;0.000000;0.000000;677.7616
2011-05-02;12:00;291.00;52.22;909.65;1.78;292.42;0.206750;0.000000;0.000000;628.2712
2011-05-02;13:00;290.65;54.35;909.45;1.92;293.18;0.321980;0.000000;0.000000;525.7526
2011-05-02;14:00;290.22;57.00;909.15;1.94;298.85;0.485020;0.000000;0.000000;449.6627
2011-05-02;15:00;289.69;60.04;908.83;1.84;305.09;0.839133;0.000000;0.000000;364.7924
2011-05-02;16:00;289.13;63.47;908.69;1.63;304.81;1.422624;0.000000;0.000000;267.1200
2011-05-02;17:00;288.37;68.53;908.57;1.23;296.69;2.372922;0.000000;0.000000;171.9398
2011-05-02;18:00;287.12;78.41;908.61;0.57;264.09;2.813211;0.425217;0.000040;87.6436
2011-05-02;19:00;285.03;85.93;908.94;0.81;187.24;2.384132;0.737021;0.000297;11.6596
2011-05-02;20:00;283.97;88.39;909.42;1.22;168.88;1.423229;0.818051;0.000888;0.0000
2011-05-02;21:00;283.54;89.82;909.62;1.62;164.56;0.913424;0.609961;0.001299;0.0000
2011-05-02;22:00;282.90;90.68;909.69;2.07;159.27;0.493112;0.504945;0.002238;0.0000
2011-05-02;23:00;282.09;92.35;909.67;2.23;155.91;0.304413;0.283168;0.002687;0.0000
2011-05-02;24:00;281.28;93.94;909.62;2.08;152.37;0.135702;0.142848;0.002949;0.0000
2011-05-03;01:00;280.42;94.52;909.61;1.98;153.01;0.103047;0.000000;0.002262;0.0000
2011-05-03;02:00;279.89;94.16;909.82;1.86;155.55;0.026071;0.000000;0.002284;0.0000
2011-05-03;03:00;279.92;90.70;910.12;1.84;157.06;0.020213;0.000000;0.002293;0.0000
2011-05-03;04:00;280.45;87.00;910.37;1.46;164.21;0.033560;0.000000;0.002298;0.0000
2011-05-03;05:00;280.93;86.37;910.67;1.07;182.17;0.076364;0.000000;0.002300;5.5653
2011-05-03;06:00;281.96;90.78;911.07;0.66;212.96;0.147162;0.000000;0.002278;52.5975
2011-05-03;07:00;283.02;88.13;911.54;0.72;260.81;0.170242;0.000000;0.002197;109.1025
2011-05-03;08:00;284.09;88.56;911.98;1.26;306.97;0.222825;0.000000;0.002073;169.2939
2011-05-03;09:00;285.05;80.55;912.26;1.82;324.67;0.332717;0.000000;0.001903;286.2506
2011-05-03;10:00;286.22;74.81;912.45;2.26;333.53;0.441837;0.000000;0.001668;461.7259
2011-05-03;11:00;287.04;69.10;912.59;2.74;336.09;0.375971;0.000000;0.001397;514.8975
2011-05-03;12:00;287.36;66.35;912.74;2.97;335.95;0.333217;0.000000;0.001137;520.2655
2011-05-03;13:00;287.47;65.29;912.92;3.13;334.98;0.306753;0.000000;0.000919;506.8840
2011-05-03;14:00;287.33;65.43;913.10;3.26;334.95;0.297831;0.000000;0.000756;449.1826
2011-05-03;15:00;286.93;66.73;913.30;3.37;335.46;0.259229;0.000000;0.000639;356.6694
2011-05-03;16:00;286.38;69.28;913.59;3.36;336.39;0.210410;0.000000;0.000556;253.1420
2011-05-03;17:00;285.71;73.03;913.95;3.14;337.71;0.172690;0.000000;0.000503;152.8721
2011-05-03;18:00;284.82;79.39;914.40;2.60;338.92;0.174757;0.000000;0.000475;78.0915
2011-05-03;19:00;283.34;88.50;914.95;1.88;343.00;0.113942;0.000000;0.000463;12.2116
2011-05-03;20:00;282.11;91.39;915.65;1.93;351.61;0.056547;0.000000;0.000453;0.0000
2011-05-03;21:00;281.26;92.55;916.23;1.89;2.26;0.030438;0.000000;0.000445;0.0000
2011-05-03;22:00;280.51;93.41;916.59;1.79;15.01;0.018504;0.000000;0.000436;0.0000
2011-05-03;23:00;279.87;94.03;916.86;1.74;25.36;0.008085;0.000000;0.000430;0.0000
2011-05-03;24:00;279.29;94.57;917.09;1.66;32.51;0.003937;0.000000;0.000427;0.0000
2011-05-04;01:00;278.79;94.70;917.29;1.60;37.61;0.002349;0.000000;0.000425;0.0000
2011-05-04;02:00;278.42;94.28;917.43;1.54;39.93;0.003182;0.000000;0.000461;0.0000
2011-05-04;03:00;278.03;94.57;917.62;1.38;39.68;0.001723;0.000205;0.000568;0.0000
2011-05-04;04:00;277.75;94.64;917.90;1.25;40.80;0.001618;0.000011;0.000472;0.0000
2011-05-04;05:00;277.48;95.34;918.32;1.09;39.77;0.001582;0.000008;0.000487;10.0638
2011-05-04;06:00;278.77;90.70;918.84;1.03;35.98;0.000256;0.000084;0.000485;121.7051
2011-05-04;07:00;280.97;77.32;919.34;1.70;17.99;0.000105;0.000007;0.000429;325.7023
2011-05-04;08:00;283.24;61.35;919.80;2.59;5.84;0.000062;0.000000;0.000394;516.7978
2011-05-04;09:00;284.87;51.64;920.12;3.05;356.31;0.000027;0.000000;0.000342;689.4125
2011-05-04;10:00;286.02;47.14;920.36;3.47;347.90;0.000011;0.000000;0.000283;826.2049
2011-05-04;11:00;286.91;44.93;920.43;3.81;344.26;0.000004;0.000000;0.000225;913.3059
2011-05-04;12:00;287.59;43.74;920.40;4.02;344.23;0.000002;0.000000;0.000175;946.3031
2011-05-04;13:00;288.06;43.01;920.35;4.15;345.61;0.000002;0.000000;0.000135;922.3999
2011-05-04;14:00;288.24;42.54;920.37;4.22;347.67;0.000001;0.000000;0.000106;844.7854
2011-05-04;15:00;288.08;42.87;920.38;4.22;349.77;0.000001;0.000000;0.000086;719.4853
2011-05-04;16:00;287.64;44.08;920.51;4.19;352.33;0.000001;0.000000;0.000073;555.0778
2011-05-04;17:00;286.84;46.95;920.67;3.98;354.05;0.000000;0.000000;0.000065;367.7816
2011-05-04;18:00;285.23;58.01;920.88;2.98;352.70;0.000000;0.000000;0.000062;177.1826
2011-05-04;19:00;281.93;75.49;921.15;2.49;352.64;0.000000;0.000000;0.000061;27.1090
